Variant_Classification	Mutation_type
Frame_Shift_Del	Indel
Frame_Shift_Ins	Indel
In_Frame_Del	Indel
In_Frame_Ins	Indel
Missense_Mutation	Missense_Mutation
Nonsense_Mutation	Nonsense_Mutation
Silent	Silent
Splice_Site	Splice
Translation_Start_Site	Missense_Mutation
Nonstop_Mutation	Missense_Mutation
3'UTR	UTR
3'Flank	Intron
5'UTR	UTR
5'Flank	Intron
IGR 	IGR
Intron	Intron
RNA	RNA
Targeted_Region	Targeted_Region
Indel	Indel
De_novo_Start_InFrame	Missense_Mutation
De_novo_Start_OutOfFrame	Missense_Mutation
Splice_Region	Splice
